model,logo,perturbation,level,correct
gemini,Blue Style,Saturate,3,True
gemini,Blue Style,Saturate,4,True
gemini,Capital One,Saturate,1,True
gemini,Capital One,Saturate,2,True
gemini,Capital One,Saturate,3,True
gemini,Capital One,Saturate,4,True
gemini,Chase,Saturate,1,True
gemini,Chase,Saturate,2,True
gemini,Chase,Saturate,3,True
gemini,Chase,Saturate,4,True
gemini,Costco,Saturate,1,True
gemini,Costco,Saturate,2,True
gemini,Costco,Saturate,3,True
gemini,Costco,Saturate,4,True
gemini,DHL,Saturate,1,True
gemini,DHL,Saturate,2,True
gemini,DHL,Saturate,3,True
gemini,DHL,Saturate,4,True
gemini,Discover,Saturate,1,True
gemini,Discover,Saturate,2,True
gemini,Discover,Saturate,3,True
gemini,Discover,Saturate,4,True
gemini,ExxonMobil,Saturate,1,True
gemini,ExxonMobil,Saturate,2,True
gemini,ExxonMobil,Saturate,3,True
gemini,ExxonMobil,Saturate,4,True
gemini,Facebook,Saturate,1,True
gemini,Facebook,Saturate,2,True
gemini,Facebook,Saturate,3,True
gemini,Facebook,Saturate,4,True
gemini,FedEx,Saturate,1,True
gemini,FedEx,Saturate,2,True
gemini,FedEx,Saturate,3,True
gemini,FedEx,Saturate,4,True
gemini,Google,Saturate,1,True
gemini,Google,Saturate,2,True
gemini,Google,Saturate,3,True
gemini,Google,Saturate,4,True
gemini,JPMorganChase,Saturate,1,True
gemini,JPMorganChase,Saturate,2,True
gemini,JPMorganChase,Saturate,3,True
gemini,JPMorganChase,Saturate,4,True
gemini,Kroger,Saturate,1,True
gemini,Kroger,Saturate,2,True
gemini,Kroger,Saturate,3,True
gemini,Kroger,Saturate,4,True
gemini,Mastercard,Saturate,1,False
gemini,Mastercard,Saturate,2,False
gemini,Mastercard,Saturate,3,False
gemini,Mastercard,Saturate,4,False
gemini,McDonalds,Saturate,1,True
gemini,McDonalds,Saturate,2,True
gemini,McDonalds,Saturate,3,True
gemini,McDonalds,Saturate,4,True
gemini,McKesson,Saturate,1,True
gemini,McKesson,Saturate,2,True
gemini,McKesson,Saturate,3,True
gemini,McKesson,Saturate,4,True
gemini,Microsoft,Saturate,1,True
gemini,Microsoft,Saturate,2,True
gemini,Microsoft,Saturate,3,True
gemini,Microsoft,Saturate,4,True
gemini,Nike,Saturate,1,True
gemini,Nike,Saturate,2,True
gemini,Nike,Saturate,3,True
gemini,Nike,Saturate,4,True
gemini,Nurel Group,Saturate,1,True
gemini,Nurel Group,Saturate,2,True
gemini,Nurel Group,Saturate,3,True
gemini,Nurel Group,Saturate,4,True
gemini,P&G,Saturate,1,True
gemini,P&G,Saturate,2,True
gemini,P&G,Saturate,3,True
gemini,P&G,Saturate,4,True
gemini,PAGO,Saturate,1,True
gemini,PAGO,Saturate,2,True
gemini,PAGO,Saturate,3,True
gemini,PAGO,Saturate,4,True
gemini,PayPal,Saturate,1,True
gemini,PayPal,Saturate,2,True
gemini,PayPal,Saturate,3,True
gemini,PayPal,Saturate,4,True
gemini,Regions,Saturate,1,True
gemini,Regions,Saturate,2,True
gemini,Regions,Saturate,3,True
gemini,Regions,Saturate,4,True
gemini,State Farm,Saturate,1,True
gemini,State Farm,Saturate,2,True
gemini,State Farm,Saturate,3,True
gemini,State Farm,Saturate,4,True
gemini,SunTrust,Saturate,1,True
gemini,SunTrust,Saturate,2,True
gemini,SunTrust,Saturate,3,True
gemini,SunTrust,Saturate,4,True
gemini,Target,Saturate,1,True
gemini,Target,Saturate,2,True
gemini,Target,Saturate,3,True
gemini,Target,Saturate,4,True
gemini,The Home Depot,Saturate,1,True
gemini,The Home Depot,Saturate,2,True
gemini,The Home Depot,Saturate,3,True
gemini,The Home Depot,Saturate,4,True
gemini,UPS,Saturate,1,True
gemini,UPS,Saturate,2,True
gemini,UPS,Saturate,3,True
gemini,UPS,Saturate,4,True
gemini,United Healthcare,Saturate,1,True
gemini,United Healthcare,Saturate,2,True
gemini,United Healthcare,Saturate,3,True
gemini,United Healthcare,Saturate,4,True
gemini,VISA,Saturate,1,True
gemini,VISA,Saturate,2,True
gemini,VISA,Saturate,3,True
gemini,VISA,Saturate,4,True
gemini,WeChat,Saturate,1,True
gemini,WeChat,Saturate,2,True
gemini,WeChat,Saturate,3,True
gemini,WeChat,Saturate,4,True
gemini,Wells Fargo,Saturate,1,True
gemini,Wells Fargo,Saturate,2,True
gemini,Wells Fargo,Saturate,3,True
gemini,Wells Fargo,Saturate,4,True
gemini,P&G,Noise,5,True
gemini,P&G,Saturate,5,True
gemini,PayPal,Noise,5,True
gemini,PayPal,Saturate,5,True
gemini,State Farm,Noise,5,True
gemini,State Farm,Saturate,5,True
gemini,The Home Depot,Noise,5,True
gemini,The Home Depot,Saturate,5,True
gemini,United Healthcare,Noise,5,True
gemini,United Healthcare,Saturate,5,True
gemini,Wells Fargo,Noise,5,True
gemini,Wells Fargo,Saturate,5,True
gemini,American Express,Noise,5,True
gemini,American Express,Saturate,5,True
gemini,Apple,Noise,5,True
gemini,Apple,Saturate,5,True
gemini,Bank of America,Noise,5,True
gemini,Bank of America,Saturate,5,True
gemini,Bitcoin,Noise,5,True
gemini,Bitcoin,Saturate,5,True
